ADM1_PCODE,longitude,latitude,Shape_Area,Shape_Leng,ADM1_REF,ADM0_DA,ADM1ALT1DA,ADM1ALT2EN,ADM1_DA,REG_PCODE,ADM1_EN,ADM0_PCODE,validOn,ADM1ALT1EN,ADM1ALT2DA,ADM0_EN,date,REG_EN
AF17,71.45621274,37.03784815,4.399067357,20.99417897,,افغانستان,,,بدخشان,NE,Badakhshan,AF,22/05/2018,,,Afghanistan,23/08/2017,North Eastern
AF31,63.73445514,35.13699081,2.03816692,8.377644699,,افغانستان,,,بادغیس,WR,Badghis,AF,22/05/2018,,,Afghanistan,23/08/2017,Western
AF09,68.9142004,35.80445449,1.776594719,7.7862926,,افغانستان,,,بغلان,NE,Baghlan,AF,22/05/2018,,,Afghanistan,23/08/2017,North Eastern
AF21,67.07840635,36.66991457,1.690500442,8.394132301,,افغانستان,,,بلخ,NR,Balkh,AF,22/05/2018,,,Afghanistan,23/08/2017,Northern
AF10,67.23438963,34.80379081,1.762776617,8.587412214,,افغانستان,,,بامیان,CH,Bamyan,AF,22/05/2018,,,Afghanistan,23/08/2017,Central Highland
AF24,66.22045778,33.70641896,1.533230998,8.682738075,,افغانستان,,,دایکندی,CH,Daykundi,AF,22/05/2018,,,Afghanistan,23/08/2017,Central Highland
AF33,62.3018205,32.60835567,4.720559172,15.35334411,,افغانستان,,,فراه,WR,Farah,AF,22/05/2018,,,Afghanistan,23/08/2017,Western
AF29,64.86935134,36.06014808,2.067085724,9.148955418,,افغانستان,,,فاریاب,NR,Faryab,AF,22/05/2018,,,Afghanistan,23/08/2017,Northern
AF11,67.81119986,33.31567379,2.099038345,10.28590132,,افغانستان,,,غزنی,SE,Ghazni,AF,22/05/2018,,,Afghanistan,23/08/2017,South Eastern
AF23,64.92872608,34.17940041,3.620942312,14.21754403,,افغانستان,,,غور,WR,Ghor,AF,22/05/2018,,,Afghanistan,23/08/2017,Western
AF30,64.04711051,31.15445061,5.650049745,14.70857446,,افغانستان,,,هلمند,SR,Hilmand,AF,22/05/2018,,,Afghanistan,23/08/2017,Southern
AF32,62.13114773,34.19727624,5.324363075,16.57177843,,افغانستان,,,هرات,WR,Hirat,AF,22/05/2018,,,Afghanistan,23/08/2017,Western
AF28,65.85412294,36.82936842,1.12193931,6.208476903,,افغانستان,,,جوزجان,NR,Jawzjan,AF,22/05/2018,,,Afghanistan,23/08/2017,Northern
AF01,69.33466855,34.55466081,0.457584181,4.405299577,,افغانستان,,,کابل,CR,Kabul,AF,22/05/2018,,,Afghanistan,23/08/2017,Capital
AF27,65.70961515,31.04493767,5.109366895,14.436091,,افغانستان,,,کندهار,SR,Kandahar,AF,22/05/2018,,,Afghanistan,23/08/2017,Southern
AF02,69.62261624,34.96289647,0.185832758,2.481507703,,افغانستان,,,کاپیسا,CR,Kapisa,AF,22/05/2018,,,Afghanistan,23/08/2017,Capital
AF14,69.83356417,33.37726368,0.415389722,3.698806951,,افغانستان,,,خوست,SE,Khost,AF,22/05/2018,,,Afghanistan,23/08/2017,South Eastern
AF15,71.09399234,34.96601891,0.478470625,4.251863601,,افغانستان,,,کنر ها,ER,Kunar,AF,22/05/2018,,,Afghanistan,23/08/2017,Eastern
AF19,68.7464917,36.843237,0.799096052,4.819833161,,افغانستان,,,کندز,NE,Kunduz,AF,22/05/2018,,,Afghanistan,23/08/2017,North Eastern
AF07,70.15968393,34.76420571,0.377850445,3.24341982,,افغانستان,,,لغمان,ER,Laghman,AF,22/05/2018,,,Afghanistan,23/08/2017,Eastern
AF05,69.16848081,34.013495,0.429286996,4.24929515,,افغانستان,,,لوگر,CR,Logar,AF,22/05/2018,,,Afghanistan,23/08/2017,Capital
AF04,68.21775258,34.30325017,1.036741794,7.015660323,,افغانستان,,,میدان وردک,CR,Maidan Wardak,AF,22/05/2018,,,Afghanistan,23/08/2017,Capital
AF06,70.47571679,34.27360741,0.724380555,5.194162409,,افغانستان,,,ننگرهار,ER,Nangarhar,AF,22/05/2018,,,Afghanistan,23/08/2017,Eastern
AF34,62.31880393,30.80225951,3.832211394,10.12167523,,افغانستان,,,نیمروز,SR,Nimroz,AF,22/05/2018,,,Afghanistan,23/08/2017,Southern
AF16,70.78845349,35.41688874,0.891946255,6.588397696,,افغانستان,,,نورستان,ER,Nuristan,AF,22/05/2018,,,Afghanistan,23/08/2017,Eastern
AF12,68.74385292,32.47685635,1.830538229,8.122396908,,افغانستان,,,پکتیکا,SE,Paktika,AF,22/05/2018,,,Afghanistan,23/08/2017,South Eastern
AF13,69.38827498,33.63197254,0.51296349,4.548071033,,افغانستان,,,پکتیا,SE,Paktya,AF,22/05/2018,,,Afghanistan,23/08/2017,South Eastern
AF08,69.79454696,35.44563355,0.370526214,3.862794307,,افغانستان,,,پنجشیر,CR,Panjsher,AF,22/05/2018,,,Afghanistan,23/08/2017,Capital
AF03,68.88608888,34.95828041,0.552083332,5.265414165,,افغانستان,,,پروان,CR,Parwan,AF,22/05/2018,,,Afghanistan,23/08/2017,Capital
AF20,67.70248009,35.97246555,1.290821109,6.05470018,,افغانستان,,,سمنگان,NR,Samangan,AF,22/05/2018,,,Afghanistan,23/08/2017,Northern
AF22,66.13886855,35.71449715,1.519401012,8.100152925,,افغانستان,,,سرپل,NR,Sar-e-Pul,AF,22/05/2018,,,Afghanistan,23/08/2017,Northern
AF18,69.77882124,36.70153615,1.243215565,7.005384978,,افغانستان,,,تخار,NE,Takhar,AF,22/05/2018,,,Afghanistan,23/08/2017,North Eastern
AF25,66.05885582,32.85441815,1.045156087,7.422181739,,افغانستان,,,ارزگان,SR,Uruzgan,AF,22/05/2018,,,Afghanistan,23/08/2017,Southern
AF26,67.14781922,32.19989302,1.659460433,8.485745741,,افغانستان,,,زابل,SR,Zabul,AF,22/05/2018,,,Afghanistan,23/08/2017,Southern
